Country,Real_GDP_per_Capita_USD,Total_Population,electricity_access_percent,electricity_generating_capacity_kW,roadways_km,mobile_cellular_subscriptions_total,broadband_fixed_subscriptions_total
AFGHANISTAN,1500.0,39232003.0,97.0,776000.0,34903.0,23000000.0,26570.0
ALBANIA,14500.0,3101621.0,100.0,2531000.0,3945.0,2635466.0,508937.0
ALGERIA,11000.0,44758398.0,99.0,21694000.0,104000.0,47028685.0,3790459.0
AMERICAN SAMOA,11200.0,44620.0,59.0,47000.0,241.0,2250.0,
ANDORRA,37900.0,85468.0,100.0,115837000.0,269.0,56805348.0,16188502.0
ANGOLA,5900.0,35981281.0,48.0,7344000.0,26000.0,15327864.0,230610.0
ANGUILLA,12200.0,19079.0,100.0,,175.0,26000.0,5000.0
ANTIGUA AND BARBUDA,19100.0,101489.0,100.0,117000.0,1170.0,180000.0,8000.0
ARGENTINA,21500.0,46621847.0,100.0,44731000.0,281290.0,59065827.0,9571562.0
ARMENIA,14200.0,2989091.0,100.0,3633000.0,7700.0,3599278.0,430407.0
ARUBA,38900.0,123.0,100.0,296000.0,1000.0,140000.0,19000.0
AUSTRALIA,49800.0,26461166.0,100.0,82517000.0,873573.0,28270000.0,8470000.0
AUSTRIA,54100.0,8940860.0,100.0,28376000.0,137039.0,10882217.0,2606000.0
AZERBAIJAN,14400.0,10420515.0,100.0,7677000.0,24981.0,10817071.0,1995474.0
"BAHAMAS, THE",30200.0,358508.0,100.0,578000.0,2700.0,466000.0,83000.0
BAHRAIN,49400.0,1553886.0,100.0,6982000.0,4122.0,1923443.0,148928.0
BANGLADESH,5900.0,167184465.0,98.0,18461000.0,369105.0,181021227.0,10052819.0
BARBADOS,13800.0,303431.0,100.0,311000.0,1700.0,316633.0,128000.0
BELARUS,19800.0,9383853.0,100.0,11360000.0,86600.0,11760087.0,3255552.0
BELGIUM,51700.0,11913633.0,100.0,26929000.0,118414.0,11740118.0,4734210.0
BELIZE,8800.0,419137.0,97.0,204000.0,3281.0,260000.0,36000.0
BENIN,3300.0,14219908.0,41.0,475000.0,16000.0,12731782.0,29981.0
BERMUDA,80300.0,72576.0,100.0,172000.0,447.0,68000.0,23000.0
BHUTAN,10900.0,876181.0,100.0,2334000.0,12205.0,778008.0,3189.0
BOLIVIA,8100.0,12186079.0,98.0,3834000.0,90568.0,12033941.0,931918.0
